Subgroup	Sample	Type	Normalized_depth
b4	C054-CHA-N14	Control	0.213154689403167
b4	C055-CHA-N15	CON	0
b4	C056-CHA-N16	Control	0.338253382533825
b4	C057-CHA-N17	Control	0.397310513447433
b4	C058-CHA-N18	Control	0.265173836181497
b4	C059-CHA-N19	r3-r4-g2-b3-gy1	0.39561777236762
b4	C061-CHA-NE01	CON	0
b4	C062-CHA-NE02	Control	0.395136778115502
b4	C063-CHA-NE03	Control	0.455097087378641
b4	C064-CHA-NE04	r3-r4-g1-g2-b4	0
b4	C066-CHA-NE06	Control	0.246305418719212
b4	C067-CHA-NE07	Control	0.242424242424242
b4	C069-CHA-NE09	Control	0.182481751824818
b4	C070-CHA-NE10	Control	0.423728813559322
b4	C071-CHA-NE11	Control	0.353982300884956
b4	C072-CHA-NE12	Control	0.362756952841596
b4	C073-CHA-NE13	r3-r4-g1-g2-b4	0
b4	C074-CHA-NE14	Control	0.360576923076923
b4	C075-CHA-NE15	CON	0
b4	C076-CHA-NE16	Control	0.304878048780488
b4	C077-CHA-NE17	r3-r4-g2-b3-gy1	0.240673886883273
b4	C078-CHA-NE18	r3-r4-g1-g2-b4	0
b4	C079-CHA-NE19	Control	0.3690036900369
b4	C081-CHA-C01	r1-r2-gy1	0
b4	C082-CHA-C02	Control	0.306184935701164
b4	C083-CHA-C03	r3-r4-g1-g2-b4	0
b4	C084-CHA-C04	Control	0.272892662219527
b4	C086-CHA-C06	Control	0.33167495854063
b4	C087-CHA-C07	Control	0.216182828906733
b4	C088-CHA-C08	Control	0.215650030807147
b4	C089-CHA-C09	Control	0.240529164161155
b4	C090-CHA-C10	Control	0.338669950738916
b4	C091-CHA-C11	r3-r4-g1-g2-b4	0
b4	C094-CHA-C14	r3-r4-g1-g2-b4	0
b4	C095-CHA-C15	CON	0
b4	C096-CHA-C16	r3-r4-g2-b3-gy1	0.241984271022384
b4	C097-CHA-C17	Control	0.332728372655777
b4	C099-CHA-C19	Control	0.213284582571603
b4	C100-CHA-C20	Control	0.362756952841596
b4	C102-CZA02	Control	0.66577896138482
b4	C107-CZA07	r3-r4-g1-g2-b4	0
b4	C111-CUG03	Control	0
b4	C112-CUG04	r1-r2-gy1	0
b4	C114-CMG01	Control	0.509898020395921
b4	C116-CMG03	CON	0
b4	C117-CMG04	Control	0.479616306954436
b4	C118-CMG05	Control	0.240818783865141
b4	C120-CKZ02	CON	0
b4	C121-CKZ03	CON	0
b4	C122-CKZ04	CON	0
b4	C127-CZH04	Control	0.360793746241732
b4	C134-CMH01	Control	0.303030303030303
b4	C137-CMH04	Control	0.428396572827417
b4	C138-CMH05	Control	0.419412822049131
b4	C139-CBY01	Control	0.303582270795386
b4	C142-CHU01	Control	0.194741966893866
b4	C144-CHU03	Control	0.423216444981862
b4	C145-CMA01	Control	0.205278592375367
b4	C148-CTJ01	Control	0.240818783865141
b4	C149-CTJ02	Control	0.153092467850582
b4	C150-CTJ03	r1-r2-gy1	0.11997600479904
b4	C151-CHA-E21	Control	0.583538083538083
b4	C152-CKZ06	Control	0.246913580246914
b4	C153-CHA-S21	Control	0.34375
b4	C154-CBA01	r3-r4-g1-g2-b4	0
b4	C156-CBA03	Control	0.363636363636364
b4	KOR01	Control	0.296912114014252
b4	KOR02	Control	0.387365911799762
b4	KOR03	Control	0.381008206330598
b4	KOR04	CON	0
b4	KOR05	Control	0.383028874484384
b4	KOR07	CON	0
g1	C001-CHA-E01	Control	0.296903187011425
g1	C002-CHA-E02	Control	0.348348348348348
g1	C003-CHA-E03	Control	0.368102913825171
g1	C004-CHA-E04	Control	0.289810860280659
g1	C005-CHA-E05	CON	0.307254196642686
g1	C006-CHA-E06	Control	0.31493701259748
g1	C007-CHA-E07	r3-r4-g1-g2-b4	0
g1	C008-CHA-E08	Control	0.365461847389558
g1	C010-CHA-E10	r1-r2-gy1	0
g1	C011-CHA-E11	r3-r4-g2-b3-gy1	0.337049520352606
g1	C012-CHA-E12	Control	0.3254039497307
g1	C013-CHA-E13	Control	0.296386520503451
g1	C014-CHA-E14	Control	0.413658243080626
g1	C015-CHA-E15	Control	0.328746177370031
g1	C016-CHA-E16	r3-r4-g1-g2-b4	0.00547645125958379
g1	C017-CHA-E17	Control	0.330743175931461
g1	C018-CHA-E18	Control	0.37522741055185
g1	C019-CHA-E19	Control	0.304054054054054
g1	C020-CHA-E20	Control	0.268126888217523
g1	C021-CHA-S01	Control	0.333535476046089
g1	C021-CHA-S01_2	Control	0.282356532356532
g1	C022-CHA-S02	Control	0.36050394656952
g1	C023-CHA-S03	Control	0.254404617253949
g1	C023-CHA-S03_2	Control	0.228365384615385
g1	C024-CHA-S04	r1-r2-gy1	0.302114803625378
g1	C024-CHA-S04_2	Control	0.354652321179518
g1	C025-CHA-S05	CON	0.302962298025135
g1	C026-CHA-S06	Control	0.288753799392097
g1	C027-CHA-S07	Control	0.316879951249238
g1	C028-CHA-S08	Control	0.307816929931146
g1	C029-CHA-S09	Control	0.2951283606226
g1	C030-CHA-S10	Control	0.327363034316677
g1	C035-CHA-S15	Control	0.367197062423501
g1	C036-CHA-S16	r1-r2-gy1	0.26550188420692
g1	C037-CHA-S17	Control	0.28022978842651
g1	C038-CHA-S18	Control	0.277524330900243
g1	C039-CHA-S19	Control	0.299061175045427
g1	C040-CHA-S20	Control	0.319645006016847
g1	C041-CHA-N01	Control	0.298158212560386
g1	C042-CHA-N02	Control	0.33680342927128
g1	C044-CHA-N04	Control	0.304692260816575
g1	C045-CHA-N05	Control	0.330132052821128
g1	C046-CHA-N06	r3-r4-g1-g2-b4	0.00499300978629918
g1	C047-CHA-N07	r3-r4-g1-g2-b4	0
g1	C048-CHA-N08	Control	0.290785498489426
g1	C049-CHA-N09	Control	0.290783274440518
g1	C050-CHA-N10	CON	0.294028950542823
g1	C051-CHA-N11	CON	0.318374772589448
g1	C052-CHA-N12	r3-r4-g2-b3-gy1	0.345739271913769
