Subgroup	Sample	Type	Normalized_depth	Median_value	Control_Normalized_depth
b3	C046-CHA-N06	r3-r4-g1-g2-b4	0.347513481126423	0.315725561627201	1.1007
b3	C047-CHA-N07	r3-r4-g1-g2-b4	0.323353293413174	0.315725561627201	1.0242
b3	C048-CHA-N08	Control	0.229607250755287	0.315725561627201	0.7272
b3	C049-CHA-N09	Control	0.117785630153121	0.315725561627201	0.3731
b3	C050-CHA-N10	CON	0.639324487334138	0.315725561627201	2.0249
b3	C051-CHA-N11	CON	0.67919951485749	0.315725561627201	2.1512
b3	C052-CHA-N12	r3-r4-g2-b3-gy1	0	0.315725561627201	0.0000
b3	C054-CHA-N14	Control	0.341047503045067	0.315725561627201	1.0802
b3	C055-CHA-N15	CON	0.617433414043584	0.315725561627201	1.9556
b3	C056-CHA-N16	Control	0.27060270602706	0.315725561627201	0.8571
b3	C057-CHA-N17	Control	0.537897310513447	0.315725561627201	1.7037
b3	C058-CHA-N18	Control	0.56570418385386	0.315725561627201	1.7918
b3	C059-CHA-N19	r3-r4-g2-b3-gy1	0	0.315725561627201	0.0000
b3	C061-CHA-NE01	CON	0.73215375228798	0.315725561627201	2.3190
b3	C062-CHA-NE02	Control	0.194528875379939	0.315725561627201	0.6161
b3	C063-CHA-NE03	Control	0.37621359223301	0.315725561627201	1.1916
b3	C064-CHA-NE04	r3-r4-g1-g2-b4	0.669914738124239	0.315725561627201	2.1218
b3	C066-CHA-NE06	Control	0.320197044334975	0.315725561627201	1.0142
b3	C067-CHA-NE07	Control	0.363636363636364	0.315725561627201	1.1517
b3	C069-CHA-NE09	Control	0.401459854014599	0.315725561627201	1.2715
b3	C070-CHA-NE10	Control	0.411622276029056	0.315725561627201	1.3037
b3	C071-CHA-NE11	Control	0.271386430678466	0.315725561627201	0.8596
b3	C072-CHA-NE12	Control	0.30229746070133	0.315725561627201	0.9575
b3	C073-CHA-NE13	r3-r4-g1-g2-b4	0.552552552552553	0.315725561627201	1.7501
b3	C074-CHA-NE14	Control	0.240384615384615	0.315725561627201	0.7614
b3	C075-CHA-NE15	CON	0.592503022974607	0.315725561627201	1.8766
b3	C076-CHA-NE16	Control	0.25609756097561	0.315725561627201	0.8111
b3	C077-CHA-NE17	r3-r4-g2-b3-gy1	0	0.315725561627201	0.0000
b3	C078-CHA-NE18	r3-r4-g1-g2-b4	0.450944546008531	0.315725561627201	1.4283
b3	C079-CHA-NE19	Control	0.38130381303813	0.315725561627201	1.2077
b3	C081-CHA-C01	r1-r2-gy1	0.229885057471264	0.315725561627201	0.7281
b3	C082-CHA-C02	Control	0.220453153704838	0.315725561627201	0.6982
b3	C083-CHA-C03	r3-r4-g1-g2-b4	0.351089588377724	0.315725561627201	1.1120
